CRASH REPORT NUMBER,CRASH DATE,MILITARY TIME,AGENCY,NUMBER OF PEOPLE KILLED,NUMBER OF PEOPLE WITH INCAPACITATING INJURIES,NUMBER OF PEOPLE WITH NON-INCAPACITATING INJURIES,NUMBER OF PEOPLE WITH NON-VISIBLE INJURIES,NUMBER OF PEOPLE INJURED                    (CLASS A+B+C),"NUMBER OF VEHICLES, PEDESTRIANS AND PEDALCYCLISTS INVOLVED",WGS_X,WGS_Y
710097173,2012-06-06,8:56,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.636989852,35.0786260857
710088712,2012-06-07,18:04,ALBUQUERQUE POLICE DEPARTMENT,0,0,2,0,2,2,-106.636989852,35.0786260857
710093363,2012-06-10,14:41,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118701,35.0750388671
23356416,2012-06-12,11:45,STATION REPORT,0,0,0,0,0,2,-106.62753443,35.0774039891
710115891,2012-06-12,9:26,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.604529267,35.0754264346
710083975,2012-06-13,18:04,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.615778296,35.0754727099
710116129,2012-06-17,18:28,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.603390822,35.0754300982
710082960,2012-06-17,2:47,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.642947333,35.0794277876
710112344,2012-06-19,19:36,ALBUQUERQUE POLICE DEPARTMENT,0,0,3,1,4,2,-106.648784284,35.0801633038
30081149,2012-06-21,11:53,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.617058298,35.0754530491
23304529,2012-06-23,10:15,STATION REPORT,0,0,0,0,0,2,-106.613295715,35.0754482358
23356428,2012-06-23,9:05,STATION REPORT,0,0,0,0,0,2,-106.613295715,35.0754482358
710118472,2012-06-27,14:07,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.620801732,35.0754735994
23295400,2012-06-28,17:20,STATION REPORT,0,0,0,0,0,2,-106.62753443,35.0774039891
710115201,2012-07-03,7:32,ALBUQUERQUE POLICE DEPARTMENT,0,0,1,0,1,2,-106.636989852,35.0786260857
710096801,2012-07-07,13:40,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.634611139,35.0783197337
710116134,2012-07-08,15:32,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745873,35.0756912146
710086330,2012-07-09,15:30,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.658306406,35.0813999956
23356442,2012-07-10,15:00,STATION REPORT,0,0,0,1,1,1,-106.624052977,35.0750287975
710117156,2012-07-14,2:37,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,1,-106.62866985,35.0775543228
23203465,2012-07-17,9:45,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,1,-106.615778296,35.0754727099
710114995,2012-07-21,14:17,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.604529267,35.0754264346
710115904,2012-07-25,11:34,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.632237059,35.078020882
710120652,2012-07-26,19:45,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,4,4,2,-106.620801732,35.0754735994
710085039,2012-07-27,15:58,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.645411765,35.0797354173
710097196,2012-07-30,10:30,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.624052977,35.0750287975
710118858,2012-08-02,13:27,ALBUQUERQUE POLICE DEPARTMENT,0,1,0,1,2,2,-106.649975392,35.0803149424
710115007,2012-08-03,16:51,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.636989852,35.0786260857
23311817,2012-08-05,0:00,STATION REPORT,0,0,0,0,0,1,-106.633420992,35.0781765045
23304506,2012-08-08,11:20,STATION REPORT,0,0,0,0,0,2,-106.627745873,35.0756912146
23230010,2012-08-27,12:12,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.628146329,35.0766430482
23094344,2012-08-28,14:30,STATION REPORT,0,0,0,0,0,1,-106.622107971,35.0770000375
710119683,2012-08-28,10:15,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.624052977,35.0750287975
710122753,2012-08-30,13:11,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,3,-106.633420992,35.0781765045
710116365,2012-09-05,20:01,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.603390822,35.0754300982
23335390,2012-09-11,11:45,STATION REPORT,0,0,0,0,0,2,-106.62753443,35.0774039891
710122763,2012-09-11,9:32,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118701,35.0750388671
710119086,2012-09-14,19:37,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.620801732,35.0754735994
710120266,2012-10-02,16:36,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.60954375,35.075481393
710120666,2012-10-04,18:54,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118701,35.0750388671
23345458,2012-10-23,7:40,STATION REPORT,0,0,0,0,0,2,-106.634611139,35.0783197337
23342875,2012-10-25,21:15,STATION REPORT,0,0,0,0,0,2,-106.62753443,35.0774039891
23238199,2012-10-26,10:52,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,2,2,2,-106.627745873,35.0756912146
710116279,2012-10-26,13:15,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.638168468,35.0788046883
23335133,2012-10-31,18:00,STATION REPORT,0,0,0,0,0,2,-106.622118701,35.0750388671
23288873,2012-11-01,23:28,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.612024103,35.0754740115
710121588,2012-11-04,16:23,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.632318174,35.0776282219
